gene_symbol	original_cell_type	method	cell_type
CD28	T cells	mcp_counter	T cell
CD3D	T cells	mcp_counter	T cell
CD3G	T cells	mcp_counter	T cell
CD5	T cells	mcp_counter	T cell
CD6	T cells	mcp_counter	T cell
CHRM3-AS2	T cells	mcp_counter	T cell
CTLA4	T cells	mcp_counter	T cell
FLT3LG	T cells	mcp_counter	T cell
ICOS	T cells	mcp_counter	T cell
MAL	T cells	mcp_counter	T cell
MGC40069	T cells	mcp_counter	T cell
PBX4	T cells	mcp_counter	T cell
SIRPG	T cells	mcp_counter	T cell
THEMIS	T cells	mcp_counter	T cell
TNFRSF25	T cells	mcp_counter	T cell
TRAT1	T cells	mcp_counter	T cell
CD8B	CD8 T cells	mcp_counter	T cell CD8+
CD8A	Cytotoxic lymphocytes	mcp_counter	NA
EOMES	Cytotoxic lymphocytes	mcp_counter	NA
FGFBP2	Cytotoxic lymphocytes	mcp_counter	NA
GNLY	Cytotoxic lymphocytes	mcp_counter	NA
KLRC3	Cytotoxic lymphocytes	mcp_counter	NA
KLRC4	Cytotoxic lymphocytes	mcp_counter	NA
KLRD1	Cytotoxic lymphocytes	mcp_counter	NA
BANK1	B lineage	mcp_counter	B cell
CD19	B lineage	mcp_counter	B cell
CD22	B lineage	mcp_counter	B cell
CD79A	B lineage	mcp_counter	B cell
CR2	B lineage	mcp_counter	B cell
FCRL2	B lineage	mcp_counter	B cell
IGKC	B lineage	mcp_counter	B cell
MS4A1	B lineage	mcp_counter	B cell
PAX5	B lineage	mcp_counter	B cell
CD160	NK cells	mcp_counter	NK cell
KIR2DL1	NK cells	mcp_counter	NK cell
KIR2DL3	NK cells	mcp_counter	NK cell
KIR2DL4	NK cells	mcp_counter	NK cell
KIR3DL1	NK cells	mcp_counter	NK cell
KIR3DS1	NK cells	mcp_counter	NK cell
NCR1	NK cells	mcp_counter	NK cell
PTGDR	NK cells	mcp_counter	NK cell
SH2D1B	NK cells	mcp_counter	NK cell
ADAP2	Monocytic lineage	mcp_counter	Monocyte
ADAP2	Monocytic lineage	mcp_counter	Macrophage/Monocyte
CSF1R	Monocytic lineage	mcp_counter	Monocyte
CSF1R	Monocytic lineage	mcp_counter	Macrophage/Monocyte
FPR3	Monocytic lineage	mcp_counter	Monocyte
FPR3	Monocytic lineage	mcp_counter	Macrophage/Monocyte
KYNU	Monocytic lineage	mcp_counter	Monocyte
KYNU	Monocytic lineage	mcp_counter	Macrophage/Monocyte
PLA2G7	Monocytic lineage	mcp_counter	Monocyte
PLA2G7	Monocytic lineage	mcp_counter	Macrophage/Monocyte
RASSF4	Monocytic lineage	mcp_counter	Monocyte
RASSF4	Monocytic lineage	mcp_counter	Macrophage/Monocyte
TFEC	Monocytic lineage	mcp_counter	Monocyte
TFEC	Monocytic lineage	mcp_counter	Macrophage/Monocyte
CD1A	Myeloid dendritic cells	mcp_counter	Dendritic cell
CD1B	Myeloid dendritic cells	mcp_counter	Dendritic cell
CD1E	Myeloid dendritic cells	mcp_counter	Dendritic cell
CLEC10A	Myeloid dendritic cells	mcp_counter	Dendritic cell
CLIC2	Myeloid dendritic cells	mcp_counter	Dendritic cell
WFDC21P	Myeloid dendritic cells	mcp_counter	Dendritic cell
CA4	Neutrophils	mcp_counter	Neutrophil
CEACAM3	Neutrophils	mcp_counter	Neutrophil
CXCR1	Neutrophils	mcp_counter	Neutrophil
CXCR2	Neutrophils	mcp_counter	Neutrophil
CYP4F3	Neutrophils	mcp_counter	Neutrophil
FCGR3B	Neutrophils	mcp_counter	Neutrophil
HAL	Neutrophils	mcp_counter	Neutrophil
KCNJ15	Neutrophils	mcp_counter	Neutrophil
MEGF9	Neutrophils	mcp_counter	Neutrophil
SLC25A37	Neutrophils	mcp_counter	Neutrophil
STEAP4	Neutrophils	mcp_counter	Neutrophil
TECPR2	Neutrophils	mcp_counter	Neutrophil
TLE3	Neutrophils	mcp_counter	Neutrophil
TNFRSF10C	Neutrophils	mcp_counter	Neutrophil
VNN3	Neutrophils	mcp_counter	Neutrophil
ACVRL1	Endothelial cells	mcp_counter	Endothelial cell
APLN	Endothelial cells	mcp_counter	Endothelial cell
BCL6B	Endothelial cells	mcp_counter	Endothelial cell
BMP6	Endothelial cells	mcp_counter	Endothelial cell
BMX	Endothelial cells	mcp_counter	Endothelial cell
CDH5	Endothelial cells	mcp_counter	Endothelial cell
CLEC14A	Endothelial cells	mcp_counter	Endothelial cell
CXorf36	Endothelial cells	mcp_counter	Endothelial cell
EDN1	Endothelial cells	mcp_counter	Endothelial cell
ELTD1	Endothelial cells	mcp_counter	Endothelial cell
EMCN	Endothelial cells	mcp_counter	Endothelial cell
ESAM	Endothelial cells	mcp_counter	Endothelial cell
ESM1	Endothelial cells	mcp_counter	Endothelial cell
FAM124B	Endothelial cells	mcp_counter	Endothelial cell
HECW2	Endothelial cells	mcp_counter	Endothelial cell
HHIP	Endothelial cells	mcp_counter	Endothelial cell
KDR	Endothelial cells	mcp_counter	Endothelial cell
MMRN1	Endothelial cells	mcp_counter	Endothelial cell
MMRN2	Endothelial cells	mcp_counter	Endothelial cell
MYCT1	Endothelial cells	mcp_counter	Endothelial cell
PALMD	Endothelial cells	mcp_counter	Endothelial cell
PEAR1	Endothelial cells	mcp_counter	Endothelial cell
PGF	Endothelial cells	mcp_counter	Endothelial cell
PLXNA2	Endothelial cells	mcp_counter	Endothelial cell
PTPRB	Endothelial cells	mcp_counter	Endothelial cell
ROBO4	Endothelial cells	mcp_counter	Endothelial cell
SDPR	Endothelial cells	mcp_counter	Endothelial cell
SHANK3	Endothelial cells	mcp_counter	Endothelial cell
SHE	Endothelial cells	mcp_counter	Endothelial cell
TEK	Endothelial cells	mcp_counter	Endothelial cell
TIE1	Endothelial cells	mcp_counter	Endothelial cell
VEPH1	Endothelial cells	mcp_counter	Endothelial cell
VWF	Endothelial cells	mcp_counter	Endothelial cell
COL1A1	Fibroblasts	mcp_counter	Cancer associated fibroblast
COL3A1	Fibroblasts	mcp_counter	Cancer associated fibroblast
COL6A1	Fibroblasts	mcp_counter	Cancer associated fibroblast
COL6A2	Fibroblasts	mcp_counter	Cancer associated fibroblast
DCN	Fibroblasts	mcp_counter	Cancer associated fibroblast
GREM1	Fibroblasts	mcp_counter	Cancer associated fibroblast
PAMR1	Fibroblasts	mcp_counter	Cancer associated fibroblast
TAGLN	Fibroblasts	mcp_counter	Cancer associated fibroblast
ABCB4	B.cells	quantiseq	B cell
ADAM28	B.cells	quantiseq	B cell
ADAM6	B.cells	quantiseq	B cell
AFF3	B.cells	quantiseq	B cell
AKAP2	B.cells	quantiseq	B cell
ARHGAP24	B.cells	quantiseq	B cell
BANK1	B.cells	quantiseq	B cell
BCL11A	B.cells	quantiseq	B cell
BLK	B.cells	quantiseq	B cell
BLNK	B.cells	quantiseq	B cell
CD19	B.cells	quantiseq	B cell
CD200	B.cells	quantiseq	B cell
CD72	B.cells	quantiseq	B cell
EBF1	B.cells	quantiseq	B cell
FCMR	B.cells	quantiseq	B cell
FCRLA	B.cells	quantiseq	B cell
GNG7	B.cells	quantiseq	B cell
HLA-DOB	B.cells	quantiseq	B cell
KLHL14	B.cells	quantiseq	B cell
MEF2C	B.cells	quantiseq	B cell
P2RX5	B.cells	quantiseq	B cell
PCDH9	B.cells	quantiseq	B cell
PNOC	B.cells	quantiseq	B cell
POU2AF1	B.cells	quantiseq	B cell
RALGPS2	B.cells	quantiseq	B cell
SPIB	B.cells	quantiseq	B cell
STAP1	B.cells	quantiseq	B cell
TCF4	B.cells	quantiseq	B cell
TCL1A	B.cells	quantiseq	B cell
VPREB3	B.cells	quantiseq	B cell
ACVRL1	Macrophages.M1	quantiseq	Macrophage M1
ADAMDEC1	Macrophages.M1	quantiseq	Macrophage M1
ALDH1A2	Macrophages.M1	quantiseq	Macrophage M1
CCRL2	Macrophages.M1	quantiseq	Macrophage M1
CD86	Macrophages.M1	quantiseq	Macrophage M1
CFB	Macrophages.M1	quantiseq	Macrophage M1
CXCL2	Macrophages.M1	quantiseq	Macrophage M1
CXCL3	Macrophages.M1	quantiseq	Macrophage M1
EREG	Macrophages.M1	quantiseq	Macrophage M1
ICAM1	Macrophages.M1	quantiseq	Macrophage M1
INHBA	Macrophages.M1	quantiseq	Macrophage M1
LILRB4	Macrophages.M1	quantiseq	Macrophage M1
NUPR1	Macrophages.M1	quantiseq	Macrophage M1
PDPN	Macrophages.M1	quantiseq	Macrophage M1
SERPING1	Macrophages.M1	quantiseq	Macrophage M1
SLC1A3	Macrophages.M1	quantiseq	Macrophage M1
SLC6A12	Macrophages.M1	quantiseq	Macrophage M1
SQOR	Macrophages.M1	quantiseq	Macrophage M1
VSIG4	Macrophages.M1	quantiseq	Macrophage M1
ACE	Macrophages.M2	quantiseq	Macrophage M2
CISH	Macrophages.M2	quantiseq	Macrophage M2
CLEC4A	Macrophages.M2	quantiseq	Macrophage M2
CLIC2	Macrophages.M2	quantiseq	Macrophage M2
COLEC12	Macrophages.M2	quantiseq	Macrophage M2
ECM1	Macrophages.M2	quantiseq	Macrophage M2
ENPP2	Macrophages.M2	quantiseq	Macrophage M2
GATM	Macrophages.M2	quantiseq	Macrophage M2
GFRA2	Macrophages.M2	quantiseq	Macrophage M2
IL1R1	Macrophages.M2	quantiseq	Macrophage M2
MAOA	Macrophages.M2	quantiseq	Macrophage M2
MS4A4A	Macrophages.M2	quantiseq	Macrophage M2
PLTP	Macrophages.M2	quantiseq	Macrophage M2
PTGS1	Macrophages.M2	quantiseq	Macrophage M2
RNASE6	Macrophages.M2	quantiseq	Macrophage M2
SLC7A8	Macrophages.M2	quantiseq	Macrophage M2
TREM2	Macrophages.M2	quantiseq	Macrophage M2
WNT5B	Macrophages.M2	quantiseq	Macrophage M2
CD1D	Monocytes	quantiseq	Monocyte
CD36	Monocytes	quantiseq	Monocyte
CSTA	Monocytes	quantiseq	Monocyte
FXYD6	Monocytes	quantiseq	Monocyte
GAS7	Monocytes	quantiseq	Monocyte
HPSE	Monocytes	quantiseq	Monocyte
KBTBD11	Monocytes	quantiseq	Monocyte
NRG1	Monocytes	quantiseq	Monocyte
NRGN	Monocytes	quantiseq	Monocyte
SMARCD3	Monocytes	quantiseq	Monocyte
TMEM170B	Monocytes	quantiseq	Monocyte
ABHD5	Neutrophils	quantiseq	Neutrophil
ADGRG3	Neutrophils	quantiseq	Neutrophil
BTNL8	Neutrophils	quantiseq	Neutrophil
C5AR2	Neutrophils	quantiseq	Neutrophil
CEACAM1	Neutrophils	quantiseq	Neutrophil
CEP19	Neutrophils	quantiseq	Neutrophil
CYP4F3	Neutrophils	quantiseq	Neutrophil
DAPK2	Neutrophils	quantiseq	Neutrophil
DGAT2	Neutrophils	quantiseq	Neutrophil
DOCK5	Neutrophils	quantiseq	Neutrophil
DPEP3	Neutrophils	quantiseq	Neutrophil
DYSF	Neutrophils	quantiseq	Neutrophil
FPR2	Neutrophils	quantiseq	Neutrophil
HAL	Neutrophils	quantiseq	Neutrophil
KCNJ15	Neutrophils	quantiseq	Neutrophil
LILRA2	Neutrophils	quantiseq	Neutrophil
LRRC4	Neutrophils	quantiseq	Neutrophil
LRRK2	Neutrophils	quantiseq	Neutrophil
LY96	Neutrophils	quantiseq	Neutrophil
MGAM	Neutrophils	quantiseq	Neutrophil
MME	Neutrophils	quantiseq	Neutrophil
NINJ2	Neutrophils	quantiseq	Neutrophil
PPP1R3B	Neutrophils	quantiseq	Neutrophil
REM2	Neutrophils	quantiseq	Neutrophil
REPS2	Neutrophils	quantiseq	Neutrophil
TECPR2	Neutrophils	quantiseq	Neutrophil
TLR1	Neutrophils	quantiseq	Neutrophil
TLR4	Neutrophils	quantiseq	Neutrophil
TMCC3	Neutrophils	quantiseq	Neutrophil
TMEM154	Neutrophils	quantiseq	Neutrophil
ABCB1	NK.cells	quantiseq	NK cell
AUTS2	NK.cells	quantiseq	NK cell
COLGALT2	NK.cells	quantiseq	NK cell
EOMES	NK.cells	quantiseq	NK cell
FASLG	NK.cells	quantiseq	NK cell
GK5	NK.cells	quantiseq	NK cell
GNG2	NK.cells	quantiseq	NK cell
HOPX	NK.cells	quantiseq	NK cell
KLRD1	NK.cells	quantiseq	NK cell
MATK	NK.cells	quantiseq	NK cell
MLC1	NK.cells	quantiseq	NK cell
NCALD	NK.cells	quantiseq	NK cell
NLRC3	NK.cells	quantiseq	NK cell
PDGFD	NK.cells	quantiseq	NK cell
PLEKHF1	NK.cells	quantiseq	NK cell
PPP2R2B	NK.cells	quantiseq	NK cell
PYHIN1	NK.cells	quantiseq	NK cell
RNF165	NK.cells	quantiseq	NK cell
S1PR5	NK.cells	quantiseq	NK cell
SAMD3	NK.cells	quantiseq	NK cell
SBK1	NK.cells	quantiseq	NK cell
SH2D2A	NK.cells	quantiseq	NK cell
SLFN13	NK.cells	quantiseq	NK cell
STAT4	NK.cells	quantiseq	NK cell
TOGARAM2	NK.cells	quantiseq	NK cell
TSPOAP1	NK.cells	quantiseq	NK cell
TTC38	NK.cells	quantiseq	NK cell
TXK	NK.cells	quantiseq	NK cell
YPEL1	NK.cells	quantiseq	NK cell
ZBTB16	NK.cells	quantiseq	NK cell
FHIT	T.cells.CD4	quantiseq	T cell CD4+ (non-regulatory)
TRAT1	T.cells.CD4	quantiseq	T cell CD4+ (non-regulatory)
TSHZ2	T.cells.CD4	quantiseq	T cell CD4+ (non-regulatory)
TSPAN18	T.cells.CD4	quantiseq	T cell CD4+ (non-regulatory)
WNT7A	T.cells.CD4	quantiseq	T cell CD4+ (non-regulatory)
CD248	T.cells.CD8	quantiseq	T cell CD8+
CD8A	T.cells.CD8	quantiseq	T cell CD8+
CD8B	T.cells.CD8	quantiseq	T cell CD8+
FCGBP	T.cells.CD8	quantiseq	T cell CD8+
CCR4	Tregs	quantiseq	T cell regulatory (Tregs)
CD5	Tregs	quantiseq	T cell regulatory (Tregs)
CTLA4	Tregs	quantiseq	T cell regulatory (Tregs)
FAM160B1	Tregs	quantiseq	T cell regulatory (Tregs)
FAM46C	Tregs	quantiseq	T cell regulatory (Tregs)
FOXP3	Tregs	quantiseq	T cell regulatory (Tregs)
GCNT4	Tregs	quantiseq	T cell regulatory (Tregs)
HPGD	Tregs	quantiseq	T cell regulatory (Tregs)
ICOS	Tregs	quantiseq	T cell regulatory (Tregs)
LAYN	Tregs	quantiseq	T cell regulatory (Tregs)
LRRC32	Tregs	quantiseq	T cell regulatory (Tregs)
PLCL1	Tregs	quantiseq	T cell regulatory (Tregs)
RTKN2	Tregs	quantiseq	T cell regulatory (Tregs)
SEMA3G	Tregs	quantiseq	T cell regulatory (Tregs)
AATBC	Dendritic.cells	quantiseq	Dendritic cell
FZD1	Dendritic.cells	quantiseq	Dendritic cell
GRK3	Dendritic.cells	quantiseq	Dendritic cell
GUCY1A3	Dendritic.cells	quantiseq	Dendritic cell
KDM1B	Dendritic.cells	quantiseq	Dendritic cell
LMO2	Dendritic.cells	quantiseq	Dendritic cell
RNF144B	Dendritic.cells	quantiseq	Dendritic cell
SLC2A6	Dendritic.cells	quantiseq	Dendritic cell
TTYH2	Dendritic.cells	quantiseq	Dendritic cell
ABCB4	B cells naive	cibersort	B cell naive
ADAM28	B cells naive	cibersort	B cell naive
BACH2	B cells naive	cibersort	B cell naive
BCL7A	B cells naive	cibersort	B cell naive
BEND5	B cells naive	cibersort	B cell naive
BRAF	B cells naive	cibersort	B cell naive
CD19	B cells naive	cibersort	B cell naive
CD22	B cells naive	cibersort	B cell naive
CD37	B cells naive	cibersort	B cell naive
CD69	B cells naive	cibersort	B cell naive
CD72	B cells naive	cibersort	B cell naive
CD79A	B cells naive	cibersort	B cell naive
CD79B	B cells naive	cibersort	B cell naive
CR2	B cells naive	cibersort	B cell naive
FAIM3	B cells naive	cibersort	B cell naive
FCRL2	B cells naive	cibersort	B cell naive
FRK	B cells naive	cibersort	B cell naive
GPR18	B cells naive	cibersort	B cell naive
HHEX	B cells naive	cibersort	B cell naive
HLA-DOB	B cells naive	cibersort	B cell naive
IL4R	B cells naive	cibersort	B cell naive
KIAA0226L	B cells naive	cibersort	B cell naive
LINC00921	B cells naive	cibersort	B cell naive
MEP1A	B cells naive	cibersort	B cell naive
MICAL3	B cells naive	cibersort	B cell naive
MS4A1	B cells naive	cibersort	B cell naive
NIPSNAP3B	B cells naive	cibersort	B cell naive
P2RX5	B cells naive	cibersort	B cell naive
PSG2	B cells naive	cibersort	B cell naive
RALGPS2	B cells naive	cibersort	B cell naive
RASGRP2	B cells naive	cibersort	B cell naive
SLC12A1	B cells naive	cibersort	B cell naive
STAP1	B cells naive	cibersort	B cell naive
TCL1A	B cells naive	cibersort	B cell naive
UGT1A8	B cells naive	cibersort	B cell naive
VPREB3	B cells naive	cibersort	B cell naive
ZNF286A	B cells naive	cibersort	B cell naive
AIM2	B cells memory	cibersort	B cell memory
BANK1	B cells memory	cibersort	B cell memory
BLK	B cells memory	cibersort	B cell memory
FCGR2B	B cells memory	cibersort	B cell memory
IFNA10	B cells memory	cibersort	B cell memory
IL7	B cells memory	cibersort	B cell memory
LHCGR	B cells memory	cibersort	B cell memory
LY86	B cells memory	cibersort	B cell memory
NMBR	B cells memory	cibersort	B cell memory
NPIPB15	B cells memory	cibersort	B cell memory
PNOC	B cells memory	cibersort	B cell memory
SP140	B cells memory	cibersort	B cell memory
SPIB	B cells memory	cibersort	B cell memory
TNFRSF13B	B cells memory	cibersort	B cell memory
TRAF4	B cells memory	cibersort	B cell memory
ABCB9	Plasma cells	cibersort	B cell plasma
AMPD1	Plasma cells	cibersort	B cell plasma
ANGPT4	Plasma cells	cibersort	B cell plasma
ATXN8OS	Plasma cells	cibersort	B cell plasma
C11orf80	Plasma cells	cibersort	B cell plasma
CCR10	Plasma cells	cibersort	B cell plasma
CD27	Plasma cells	cibersort	B cell plasma
CD38	Plasma cells	cibersort	B cell plasma
DENND5B	Plasma cells	cibersort	B cell plasma
EAF2	Plasma cells	cibersort	B cell plasma
GNG7	Plasma cells	cibersort	B cell plasma
GPR25	Plasma cells	cibersort	B cell plasma
GUSBP11	Plasma cells	cibersort	B cell plasma
HIST1H2AE	Plasma cells	cibersort	B cell plasma
HIST1H2BG	Plasma cells	cibersort	B cell plasma
IGHD	Plasma cells	cibersort	B cell plasma
IGHE	Plasma cells	cibersort	B cell plasma
IGHM	Plasma cells	cibersort	B cell plasma
IGKC	Plasma cells	cibersort	B cell plasma
IGLL3P	Plasma cells	cibersort	B cell plasma
KCNA3	Plasma cells	cibersort	B cell plasma
KCNG2	Plasma cells	cibersort	B cell plasma
LOC100130100	Plasma cells	cibersort	B cell plasma
MAN1A1	Plasma cells	cibersort	B cell plasma
MANEA	Plasma cells	cibersort	B cell plasma
MAST1	Plasma cells	cibersort	B cell plasma
MROH7	Plasma cells	cibersort	B cell plasma
MZB1	Plasma cells	cibersort	B cell plasma
PAX7	Plasma cells	cibersort	B cell plasma
PDK1	Plasma cells	cibersort	B cell plasma
RASGRP3	Plasma cells	cibersort	B cell plasma
REN	Plasma cells	cibersort	B cell plasma
SIK1	Plasma cells	cibersort	B cell plasma
SPAG4	Plasma cells	cibersort	B cell plasma
ST6GALNAC4	Plasma cells	cibersort	B cell plasma
TGM5	Plasma cells	cibersort	B cell plasma
TMEM156	Plasma cells	cibersort	B cell plasma
TNFRSF17	Plasma cells	cibersort	B cell plasma
UGT2B17	Plasma cells	cibersort	B cell plasma
CD3G	T cells CD8	cibersort	T cell CD8+
CD8A	T cells CD8	cibersort	T cell CD8+
CD8B	T cells CD8	cibersort	T cell CD8+
CRTAM	T cells CD8	cibersort	T cell CD8+
KLRC4	T cells CD8	cibersort	T cell CD8+
LIME1	T cells CD8	cibersort	T cell CD8+
PIK3IP1	T cells CD8	cibersort	T cell CD8+
TRAV12-2	T cells CD8	cibersort	T cell CD8+
ANKRD55	T cells CD4 naive	cibersort	T cell CD4+ naive
ATHL1	T cells CD4 naive	cibersort	T cell CD4+ naive
BCL11B	T cells CD4 naive	cibersort	T cell CD4+ naive
BFSP1	T cells CD4 naive	cibersort	T cell CD4+ naive
DSC1	T cells CD4 naive	cibersort	T cell CD4+ naive
EPHA1	T cells CD4 naive	cibersort	T cell CD4+ naive
FLJ13197	T cells CD4 naive	cibersort	T cell CD4+ naive
FLT3LG	T cells CD4 naive	cibersort	T cell CD4+ naive
GAL3ST4	T cells CD4 naive	cibersort	T cell CD4+ naive
GALR1	T cells CD4 naive	cibersort	T cell CD4+ naive
GRAP2	T cells CD4 naive	cibersort	T cell CD4+ naive
IL7R	T cells CD4 naive	cibersort	T cell CD4+ naive
ITK	T cells CD4 naive	cibersort	T cell CD4+ naive
LEF1	T cells CD4 naive	cibersort	T cell CD4+ naive
LY9	T cells CD4 naive	cibersort	T cell CD4+ naive
MAP4K2	T cells CD4 naive	cibersort	T cell CD4+ naive
MAP9	T cells CD4 naive	cibersort	T cell CD4+ naive
RPL3P7	T cells CD4 naive	cibersort	T cell CD4+ naive
SERGEF	T cells CD4 naive	cibersort	T cell CD4+ naive
TCF7	T cells CD4 naive	cibersort	T cell CD4+ naive
UBASH3A	T cells CD4 naive	cibersort	T cell CD4+ naive
VILL	T cells CD4 naive	cibersort	T cell CD4+ naive
WNT7A	T cells CD4 naive	cibersort	T cell CD4+ naive
ZNF204P	T cells CD4 naive	cibersort	T cell CD4+ naive
ZNF324	T cells CD4 naive	cibersort	T cell CD4+ naive
CCR6	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
CD3E	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
CD40LG	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
CD6	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
DPP4	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
EPB41	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
ETS1	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
FBXL8	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
PBXIP1	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
RASA3	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
RCAN3	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
RPL10L	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
TRAT1	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
TRAV13-1	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
TRAV13-2	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
ZFP36L2	T cells CD4 memory resting	cibersort	T cell CD4+ memory resting
CD28	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
CDC25A	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
CXCR6	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
IFNG	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
IL17A	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
IL26	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
IL2RA	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
IL3	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
IL4	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
IL9	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
ORC1	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
RRP9	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
SKA1	T cells CD4 memory activated	cibersort	T cell CD4+ memory activated
CA8	T cells follicular helper	cibersort	T cell follicular helper
CD2	T cells follicular helper	cibersort	T cell follicular helper
CD3D	T cells follicular helper	cibersort	T cell follicular helper
CHI3L2	T cells follicular helper	cibersort	T cell follicular helper
CXCL13	T cells follicular helper	cibersort	T cell follicular helper
CXCR5	T cells follicular helper	cibersort	T cell follicular helper
DGKA	T cells follicular helper	cibersort	T cell follicular helper
FZD3	T cells follicular helper	cibersort	T cell follicular helper
ICA1	T cells follicular helper	cibersort	T cell follicular helper
ICOS	T cells follicular helper	cibersort	T cell follicular helper
IL21	T cells follicular helper	cibersort	T cell follicular helper
LAT	T cells follicular helper	cibersort	T cell follicular helper
LCK	T cells follicular helper	cibersort	T cell follicular helper
MAP4K1	T cells follicular helper	cibersort	T cell follicular helper
PASK	T cells follicular helper	cibersort	T cell follicular helper
PDCD1	T cells follicular helper	cibersort	T cell follicular helper
PTPRCAP	T cells follicular helper	cibersort	T cell follicular helper
SH2D1A	T cells follicular helper	cibersort	T cell follicular helper
SIRPG	T cells follicular helper	cibersort	T cell follicular helper
SLC7A10	T cells follicular helper	cibersort	T cell follicular helper
ST8SIA1	T cells follicular helper	cibersort	T cell follicular helper
TRAC	T cells follicular helper	cibersort	T cell follicular helper
TRIB2	T cells follicular helper	cibersort	T cell follicular helper
TSHR	T cells follicular helper	cibersort	T cell follicular helper
ZAP70	T cells follicular helper	cibersort	T cell follicular helper
ZBTB10	T cells follicular helper	cibersort	T cell follicular helper
ACAP1	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
BARX2	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
CD5	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
CD7	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
CD70	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
CEMP1	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
CLEC2D	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
CRISP3	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
CTLA4	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
EFNA5	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
FOXP3	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
FRMD8	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
GPR1	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
GPR171	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
GPR19	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
GYPE	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
HIC1	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
HMGB3P30	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
KIRREL	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
LAIR2	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
LILRA4	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
LOC126987	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
LTB	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
MBL2	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
NPAS1	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
NTN3	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
PCDHA5	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
PLCH2	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
PMCH	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
PTPRG	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
RYR1	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
SEC31B	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
SEPT5	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
SIT1	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
SKAP1	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
SPOCK2	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
SSX1	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
